category,pixels,Acreage,Percentage
0.0-0.05,5695920,87968144,4.59%
0.05-0.1,27900288,430893791,22.49%
0.1-0.15,38545632,595301149,31.08%
0.15-0.2,26762400,413320178,21.58%
0.2-0.25,15470352,238925083,12.47%
0.25-0.3,5943456,91791105,4.79%
0.3-0.35,1438560,22217210,1.16%
0.35-0.4,895536,13830713,0.72%
0.4-0.45,764640,11809147,0.62%
0.45-0.5,296784,4583550,0.24%
0.5-0.55,116640,1801395,0.09%
0.55-0.6,119232,1841426,0.10%
0.6-0.65,46656,720558,0.04%
> 0.65,41472,640496,0.03%
Total,124037568,1915643952,100.00%
