category,pixels,Acreage,Percentage
0.0-0.05,3129840,48337444,2.52%
0.05-0.1,30261600,467362041,24.40%
0.1-0.15,32552928,502749454,26.24%
0.15-0.2,27524448,425089295,22.19%
0.2-0.25,17012592,262743534,13.72%
0.25-0.3,8144064,125777433,6.57%
0.3-0.35,2621808,40491366,2.11%
0.35-0.4,1213056,18734512,0.98%
0.4-0.45,886464,13690605,0.71%
0.45-0.5,355104,5484248,0.29%
0.5-0.55,101088,1561209,0.08%
0.55-0.6,128304,1981534,0.10%
0.6-0.65,64800,1000775,0.05%
> 0.65,41472,640496,0.03%
Total,124037568,1915643952,100.00%
